Case,Plastic Stress 1,Plastic Stress 2,Plastic Stress 3,Plastic Stress 4,ROM weighted yield MPa,Hard avg P3/P4 MPa,Soft avg P1/P2 MPa,Hard-soft contrast MPa,Yield spread MPa
Case 01,452,698,620,456,545.4,538.0,575.0,-37.0,246
Case 02,421,538,370,452,424.7,411.0,479.5,-68.5,168
Case 03,471,564,680,437,550.3,558.5,517.5,41.0,243
Case 04,449,709,501,480,508.2,490.5,579.0,-88.5,260
Case 05,499,658,607,693,635.7,650.0,578.5,71.5,194
Case 06,643,541,626,510,572.8,568.0,592.0,-24.0,133
Case 07,663,371,602,585,578.2,593.5,517.0,76.5,292
Case 08,694,398,408,519,480.0,463.5,546.0,-82.5,296
Case 09,537,620,539,524,540.9,531.5,578.5,-47.0,96
Case 10,400,404,593,669,585.2,631.0,402.0,229.0,269
Case 11,480,656,484,370,455.2,427.0,568.0,-141.0,286
Case 12,678,516,623,438,543.8,530.5,597.0,-66.5,240
Case 13,665,363,591,614,584.8,602.5,514.0,88.5,302
Case 14,695,402,689,441,561.7,565.0,548.5,16.5,293
Case 15,613,384,555,430,493.7,492.5,498.5,-6.0,229
Case 16,399,709,351,403,412.4,377.0,554.0,-177.0,358
Case 17,455,609,659,540,586.0,599.5,532.0,67.5,204
Case 18,567,393,511,551,520.8,531.0,480.0,51.0,174
Case 19,619,700,653,620,641.1,636.5,659.5,-23.0,81
Case 20,564,601,539,645,590.1,592.0,582.5,9.5,106
