Case,Size 1,Size 2,Size 3,Size 4
Case 21,0.0100,0.0341,0.0769,0.0864
Case 22,0.0632,0.0448,0.0843,0.0604
Case 23,0.0278,0.0507,0.0709,0.0491
Case 24,0.0390,0.0219,0.0242,0.0331
Case 25,0.0723,0.0797,0.0718,0.0220
Case 26,0.0619,0.0738,0.0111,0.0637
Case 27,0.0374,0.0489,0.0614,0.0651
Case 28,0.0365,0.0318,0.0157,0.0064
Case 29,0.0687,0.0600,0.0945,0.0989
Case 30,0.0225,0.0887,0.0488,0.0119
Case 31,0.0480,0.0359,0.0229,0.0845
Case 32,0.0901,0.0406,0.0132,0.0304
Case 33,0.0549,0.0146,0.0409,0.0228
Case 34,0.0392,0.0446,0.0651,0.0969
Case 35,0.0216,0.0472,0.0397,0.0518
Case 36,0.0146,0.0626,0.0382,0.0221
Case 37,0.0498,0.0796,0.0634,0.0925
Case 38,0.0212,0.0338,0.0493,0.0827
Case 39,0.0778,0.0925,0.0301,0.0855
Case 40,0.0266,0.0811,0.0629,0.0152
